city_name,clouds_all,dt,dt_iso,lat,lon,main_dew_point,main_feels_like,main_humidity,main_pressure,main_temp,main_temp_max,main_temp_min,rain_1h,rain_3h,snow_1h,snow_3h,timezone,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_gust,wind_speed
Patagonia,100,1722470400,2024-08-01 00:00:00 +0000 UTC,-41.810147,-68.906269,1.55,5.55,63,1001,8.16,8.52,7.59,,,,,-10800,overcast clouds,04n,804,Clouds,3,,4.41
Patagonia,100,1722474000,2024-08-01 01:00:00 +0000 UTC,-41.810147,-68.906269,1.68,4.62,67,1003,7.4,8.21,6.28,,,,,-10800,overcast clouds,04n,804,Clouds,350,,4.38
Patagonia,100,1722477600,2024-08-01 02:00:00 +0000 UTC,-41.810147,-68.906269,1.82,4.33,69,1003,7.12,7.88,6.13,,,,,-10800,overcast clouds,04n,804,Clouds,345,,4.27
Patagonia,100,1722481200,2024-08-01 03:00:00 +0000 UTC,-41.810147,-68.906269,2.16,3.33,75,1003,6.26,7.01,5.43,,,,,-10800,overcast clouds,04n,804,Clouds,345,,4.14
Patagonia,99,1722484800,2024-08-01 04:00:00 +0000 UTC,-41.810147,-68.906269,2.21,3.03,77,1003,5.93,6.75,5.11,,,,,-10800,overcast clouds,04n,804,Clouds,346,,3.94
Patagonia,100,1722488400,2024-08-01 05:00:00 +0000 UTC,-41.810147,-68.906269,2.4,2.39,81,1003,5.39,6.22,4.65,,,,,-10800,overcast clouds,04n,804,Clouds,342,,3.91
Patagonia,99,1722492000,2024-08-01 06:00:00 +0000 UTC,-41.810147,-68.906269,2.67,2.29,84,1003,5.15,5.89,4.31,,,,,-10800,overcast clouds,04n,804,Clouds,341,,3.58
Patagonia,99,1722495600,2024-08-01 07:00:00 +0000 UTC,-41.810147,-68.906269,3.21,2.41,88,1002,5.03,5.75,4.12,,,,,-10800,overcast clouds,04n,804,Clouds,341,,3.19
Patagonia,100,1722499200,2024-08-01 08:00:00 +0000 UTC,-41.810147,-68.906269,3.15,2.03,90,1002,4.65,5.42,3.72,,,,,-10800,overcast clouds,04n,804,Clouds,341,,3.07
Patagonia,85,1722502800,2024-08-01 09:00:00 +0000 UTC,-41.810147,-68.906269,3.08,2.21,91,1002,4.42,5.21,3.52,,,,,-10800,overcast clouds,04n,804,Clouds,337,,2.5
Patagonia,67,1722506400,2024-08-01 10:00:00 +0000 UTC,-41.810147,-68.906269,2.07,0.68,93,1002,3.09,3.88,2.2,,,,,-10800,broken clouds,04n,803,Clouds,316,,2.46
Patagonia,40,1722510000,2024-08-01 11:00:00 +0000 UTC,-41.810147,-68.906269,1.59,2.91,91,1002,2.91,3.87,1.89,,,,,-10800,scattered clouds,03n,802,Clouds,68,,1.03
Patagonia,82,1722513600,2024-08-01 12:00:00 +0000 UTC,-41.810147,-68.906269,1.47,0.29,93,1002,2.49,3.32,1.59,0.23,,,,-10800,light rain,10d,500,Rain,59,,2.14
Patagonia,100,1722517200,2024-08-01 13:00:00 +0000 UTC,-41.810147,-68.906269,2.54,0.51,93,1002,3.56,4.37,2.62,,,,,-10800,overcast clouds,04d,804,Clouds,55,,3.36
Patagonia,100,1722520800,2024-08-01 14:00:00 +0000 UTC,-41.810147,-68.906269,3.89,2.98,88,1002,5.72,6.41,4.83,,,,,-10800,overcast clouds,04d,804,Clouds,48,,3.6
Patagonia,100,1722524400,2024-08-01 15:00:00 +0000 UTC,-41.810147,-68.906269,4.68,4.36,85,1001,7.03,7.75,6.34,0.33,,,,-10800,light rain,10d,500,Rain,47,,3.99
Patagonia,100,1722528000,2024-08-01 16:00:00 +0000 UTC,-41.810147,-68.906269,5.43,4.13,90,1000,6.96,7.73,6.05,0.65,,,,-10800,light rain,10d,500,Rain,36,,4.27
Patagonia,100,1722531600,2024-08-01 17:00:00 +0000 UTC,-41.810147,-68.906269,6.13,3.95,93,999,7.18,8.11,6.15,0.73,,,,-10800,light rain,10d,500,Rain,23,,5.27
Patagonia,100,1722535200,2024-08-01 18:00:00 +0000 UTC,-41.810147,-68.906269,5.73,4.61,85,996,8.1,9.31,7,0.57,,,,-10800,light rain,10d,500,Rain,14,,6.66
Patagonia,100,1722538800,2024-08-01 19:00:00 +0000 UTC,-41.810147,-68.906269,4.43,4.71,76,994,8.41,9.65,7.41,,,,,-10800,overcast clouds,04d,804,Clouds,10,,7.62
Patagonia,100,1722542400,2024-08-01 20:00:00 +0000 UTC,-41.810147,-68.906269,2.86,4.61,68,993,8.42,9.68,7.28,,,,,-10800,overcast clouds,04d,804,Clouds,6,,8.04
Patagonia,100,1722546000,2024-08-01 21:00:00 +0000 UTC,-41.810147,-68.906269,3.07,8.69,62,993,10.01,10.58,9.5,0.11,,,,-10800,light rain,10d,500,Rain,5,,8.17
Patagonia,100,1722549600,2024-08-01 22:00:00 +0000 UTC,-41.810147,-68.906269,2.98,5.24,66,995,8.98,10.12,7.95,0.2,,,,-10800,light rain,10n,500,Rain,359,,8.41
Patagonia,100,1722553200,2024-08-01 23:00:00 +0000 UTC,-41.810147,-68.906269,3.06,4.94,67,994,8.84,9.82,7.51,0.13,,,,-10800,light rain,10n,500,Rain,355,,8.88
Patagonia,100,1722556800,2024-08-02 00:00:00 +0000 UTC,-41.810147,-68.906269,3.98,5.89,68,995,9.59,9.98,9.38,,,,,-10800,overcast clouds,04n,804,Clouds,352,,9.02
Patagonia,100,1722560400,2024-08-02 01:00:00 +0000 UTC,-41.810147,-68.906269,3.44,6.08,65,994,9.69,10.07,9.42,,,,,-10800,overcast clouds,04n,804,Clouds,350,,8.78
Patagonia,100,1722564000,2024-08-02 02:00:00 +0000 UTC,-41.810147,-68.906269,3.25,5.6,66,995,9.27,10.13,7.99,,,,,-10800,overcast clouds,04n,804,Clouds,349,,8.49
Patagonia,100,1722567600,2024-08-02 03:00:00 +0000 UTC,-41.810147,-68.906269,3.26,5.15,68,996,8.83,9.62,7.59,,,,,-10800,overcast clouds,04n,804,Clouds,347,,8.01
Patagonia,100,1722571200,2024-08-02 04:00:00 +0000 UTC,-41.810147,-68.906269,3.44,4.24,73,996,7.98,8.74,6.76,,,,,-10800,overcast clouds,04n,804,Clouds,344,,7.33
Patagonia,100,1722574800,2024-08-02 05:00:00 +0000 UTC,-41.810147,-68.906269,3.37,2.92,79,997,6.75,7.56,5.64,,,,,-10800,overcast clouds,04n,804,Clouds,340,,6.53
Patagonia,100,1722578400,2024-08-02 06:00:00 +0000 UTC,-41.810147,-68.906269,3.58,2.28,85,997,5.9,6.69,4.8,,,,,-10800,overcast clouds,04n,804,Clouds,338,,5.4
Patagonia,100,1722582000,2024-08-02 07:00:00 +0000 UTC,-41.810147,-68.906269,3.54,2.4,86,996,5.7,6.57,4.79,,,,,-10800,overcast clouds,04n,804,Clouds,334,,4.6
